"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2016,"Hostigamiento sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Incumplimiento de obligaciones de asistencia familiar",1,0,0,0,0,1,0,0,0,0,0,1,3
"Acatlán",2016,"Lesiones",6,0,0,0,0,1,1,0,3,1,1,1,14
"Acatlán",2016,"Narcomenudeo",0,0,0,0,0,1,0,0,0,0,0,0,1
"Acatlán",2016,"Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Otros delitos contra la sociedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Otros delitos del Fuero Común",1,1,0,0,0,0,0,0,4,1,1,0,8
"Acatlán",2016,"Otros delitos que atentan contra la libertad personal",0,0,2,0,0,0,0,0,4,0,0,0,6
"Acatlán",2016,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,2,0,0,0,2
"Acatlán",2016,"Otros delitos que atentan contra la vida y la integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Rapto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Robo",5,0,0,3,1,4,0,0,0,3,5,3,24
"Acatlán",2016,"Secuestro",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Violación",0,0,0,0,1,0,0,0,2,1,0,1,5
"Acatlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2016,"Violencia familiar",1,0,0,0,0,1,0,0,0,0,0,1,3
"Acatlán",2017,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Abuso de confianza",0,0,0,0,0,1,0,1,2,0,0,0,4
"Acatlán",2017,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acatlán",2017,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Allanamiento de morada",0,0,0,0,0,0,0,1,0,0,1,0,2
"Acatlán",2017,"Amenazas",3,3,1,1,2,2,3,0,3,0,1,0,19
"Acatlán",2017,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Daño a la propiedad",2,0,1,2,0,0,0,0,1,0,2,2,10
"Acatlán",2017,"Delitos cometidos por servidores públicos",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acatlán",2017,"Despojo",2,0,1,2,0,1,0,1,0,0,2,0,9
"Acatlán",2017,"Electorales",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Extorsión",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Fraude",0,0,0,0,1,0,0,0,0,0,0,0,1
"Acatlán",2017,"Homicidio",1,0,3,0,0,0,0,1,0,0,1,2,8
"Acatlán",2017,"Hostigamiento sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Incumplimiento de obligaciones de asistencia familiar",0,0,0,0,0,0,1,0,0,0,0,0,1
"Acatlán",2017,"Lesiones",8,2,1,2,2,3,4,2,1,1,2,3,31
"Acatlán",2017,"Narcomenudeo",0,0,0,1,0,0,0,0,0,2,0,0,3
"Acatlán",2017,"Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Otros delitos contra la sociedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Otros delitos del Fuero Común",2,0,0,1,1,0,0,1,0,0,1,0,6
"Acatlán",2017,"Otros delitos que atentan contra la libertad personal",0,0,1,0,3,1,1,0,0,0,0,0,6
"Acatlán",2017,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Otros delitos que atentan contra la vida y la integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Rapto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Robo",1,5,1,0,3,1,0,4,2,1,4,4,26
"Acatlán",2017,"Secuestro",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Violación",0,1,1,0,0,0,2,0,0,0,1,0,5
"Acatlán",2017,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2017,"Violencia familiar",1,4,1,2,0,4,1,2,2,2,5,3,27
